content,day,time,noon,venue,Id_program,sections,transaction,title,abstract,authors,track,invited,invited_keynote,authors_affiliation
Recent advances in on-chip learning with organic neuromorphic circuits,10 March 2025 (Monday),12:10pm,morning," Grand Hall A, 1/F, 12W",M-4-1-6,10:30am to 12:30pm,EDTM25-000392,Recent advances in on-chip learning with organic neuromorphic circuits,"Artificial neural networks power AI applications but require substantial computing resources. Neuromorphic engineering, inspired by the brain, uses organic materials that emulate neuroplasticity, offering low-energy operation and adaptability. Organic electrochemical transistors can be used as neuromorphic devices (ECRAM) to enable efficient edge computing with local, adaptive learning capabilities. We have developed compact neuromorphic circuits that learn through reinforcement and supervised learning, advancing low-power, on-chip training suitable for autonomous systems.",Yoeri van de Burgt,04 Memory Technologies,1,[Invited],"Yoeri van de Burgt, TU Eindhoven, The Netherlands "
CMOS Compatible Spike Vision Sensor,10 March 2025 (Monday),10:30am,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-1,10:30am to 12:30pm,EDTM25-000430,CMOS Compatible Spike Vision Sensor,"Intelligent vision systems hold a unique position in the era of big data due to their high efficiency and low power consumption. Conventional intelligent vision systems with traditional image sensors are reaching the limit and not smart enough to address rapidly-growing computer vision applications. Energy-efficient vision sensors are therefore urgently needed for the next-generation vision systems. Spike vision sensors, possessing the ability to realize in-sensing computing with low power consumption, are one of promising candidates for the future intelligent vision systems.",Kai Wang,"05 Photonics, Imaging and Display",1,[Invited],"Kai Wang, Sun Yat-Sen University, China "
Single Photon Devices Using Layered Materials,10 March 2025 (Monday),10:50am,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-2,10:30am to 12:30pm,EDTM25-000610,Single Photon Devices Using Layered Materials,"The vertical heterojunctions of two-dimensional layered materials allow us an unprecedented opportunity to manipulate electrons at the nanoscale, empowered by their atomically sharp interfaces. Here we show demonstrations of two important device applications, namely a single photon emitter and a single photon detector using such van der Waals heterojunctions. These devices could play important roles for interesting quantum technology applications.","Mayank Chhaperwal,Nithin Abraham,Kausik Majumdar","05 Photonics, Imaging and Display",1,[Invited],"Kausik Majumdar, Indian Institute of Science, India "
Novel GaN Integrated Photonics For Advanced Optical Communication and Imaging,10 March 2025 (Monday),11:10am,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-3,10:30am to 12:30pm,EDTM25-000616,Novel GaN Integrated Photonics For Advanced Optical Communication and Imaging,"This work presents two significant advances in monolithic III-nitride optoelectronics for optical communication. First, optimized triangular micro-diodes are demonstrated to achieve high modulation bandwidth and responsivity, enabling efficient bidirectional data transmission. Second, a novel three-terminal diode architecture is introduced, offering tunable light emission and reconfigurable logic functionality. These innovations collectively enhance emission efficiency, detection speed, and multifunctionality, significantly advancing the development of integrated on-chip optoelectronic systems for next-generation optical communication technologies.","Muhammad Hunain Memon,Huabin Yu,Haochen Zhang,Haiding Sun","05 Photonics, Imaging and Display",1,[Invited],"Haiding Sun, University of Science and Technology of China, China "
Van der Waals infrared photon detectors for standard blackbody characterization,10 March 2025 (Monday),11:30am,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-4,10:30am to 12:30pm,EDTM25-000528,Van der Waals infrared photon detectors for standard blackbody characterization,"We will discuss the standard blackbody characterization and time response characterization techniques for infrared photon detectors. These standardized techniques provide a reliable and consistent way to evaluate the performance of infrared photon detectors and are essential for ensuring the accuracy and repeatability of device measurements. Overall, this perspective will provide valuable insights into the latest innovations in the field, and how these innovations are advancing the capabilities and reliability of these devices.","Yang Wang,Weida Hu,Peng Zhou","05 Photonics, Imaging and Display",1,[Invited],"Peng Zhou, Fudan University, China "
Simulation of Germanium-Tin-based n+/i-Well Dot Single-Photon Avalanche Diode for Fiber-Optic,10 March 2025 (Monday),11:50am,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-5,10:30am to 12:30pm,EDTM25-000635,Simulation of Germanium-Tin-based n+/i-Well Dot Single-Photon Avalanche Diode for Fiber-Optic Telecommunication Networks,"We propose novel Ge_(1-x) Sn_x-based CMOS-integrated dot single-photon avalanche diodes (SPADs), which comprises a diminutive core n+/i-well hemispherical cathode/i-well configuration encircled by an anode ring. The multiplication layer comprises the fully depleted i-well region. The proposed design facilitates extensive light-sensitive region, yielding responsivity of ~389 AW-1 at 1.55 µm. Thus, the proposed structure may avoid the requirement for a multi-dot configuration, which consists of multiple cathode/i-well dots sharing a common anode, thereby lowering the fabrication cost. ","P Susthitha Menon N V Visvanathan,Harshvardhan Kumar,Advaita Sinha","05 Photonics, Imaging and Display",1,[Invited],"P. Susthitha Menon, National University of Malaysia (UKM), Malaysia "
Blackbody-sensitive 2D materials and infrared applications,10 March 2025 (Monday),12:10pm,morning," Conference Hall 6&7, 2/F, 8W & 10W",M-5-1-6,10:30am to 12:30pm,EDTM25-000650,Blackbody-sensitive 2D materials and infrared applications,"Two-dimensional (2D) materials, characterized by their atomic thinness and remarkable electrical, optical, and magnetic properties, have garnered significant attention for their potential to revolutionize current optoelectronic device architectures and extend more application. We introduce blackbody-sensitive two-dimensional (2D) materials that exhibit excellent blackbody-sensitive characteristic and great potential for infrared applications.","Wang Zhen,Weida Hu","05 Photonics, Imaging and Display",0,,"Wang Zhen,Weida Hu, State Key Laboratory of Infrared Physics, Shanghai Institute of Technical Physics, Chinese Academy of Sciences, China "
Insulators for Devices Based on 2D Materials (Keynote),10 March 2025 (Monday),10:30am,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-1,10:30am to 12:30pm,0.0,Insulators for Devices Based on 2D Materials (Keynote), ,0.0,07 Modelling and Simulation,0.0,[Keynote],"Tibor Grasser, TU Wien, Austria "
Recent Advances in Compact Modeling for Advanced Semiconductor Technology,10 March 2025 (Monday),10:50am,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-2,10:30am to 12:30pm,EDTM25-000576,Recent Advances in Compact Modeling for Advanced Semiconductor Technology,"A thorough review of recent advances in compact modeling for advanced semiconductor technology is performed. The development of compacting modeling is based on the modeling coordinate system, which is composed of model applications, modeling techniques, and modeling scenarios. From the perspective of the model application, recent developments include advanced logic devices without/with the backside power delivery network (BSPDN) and their design technology co-optimizations (DTCO), computing memories, cryogenic CMOS, etc. Along the dimension of modeling techniques, recent advancements span AI-assisted modeling and fusion modeling, besides the traditional approaches. In terms of modeling scenarios, dynamic modeling has been discussed more often recently, in addition to the classical static modeling scenarios. By reviewing the modeling coordinate system, we aim to provide a holistic picture of the recent advances for deeper understanding and alignment toward a better compact modeling community. ","Runsheng Wang,Baokang Peng,Lining ZHANG,Ru Huang",07 Modelling and Simulation,1,[Invited],"Runsheng Wang, Peking University, China "
Cryogenic SEKV Compact Model Applied to 22 nm FDSOI Enabling Low-temperature Circuit Simulation,10 March 2025 (Monday),11:10am,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-3,10:30am to 12:30pm,EDTM25-000441,Cryogenic SEKV Compact Model Applied to 22 nm FDSOI Enabling Low-temperature Circuit Simulation,"This paper introduces the sEKV compact model for cryogenic circuit simulation, addressing the key challenge of cryo-CMOS circuit validation. This model accurately represents the transistor and circuit DC characteristics at both room and cryogenic temperatures of a commercial 22 nm FDSOI technology using only a few parameters. It serves as a practical alternative solving the lack of PDKs currently available for the design of cryo-CMOS circuits. To reach a wider audience, the Verilog-A code of the model is available as open source.","Hung-Chi Han,Yating Zou,Batuhan Keskin,Edoardo Charbon,Christian Enz",07 Modelling and Simulation,1,[Invited],"Christian Enz, EPFL, Switzerland "
Modeling Dynamics-rich Devices with the Dynamic Time Evolution Method,10 March 2025 (Monday),11:30am,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-4,10:30am to 12:30pm,EDTM25-000571,Modeling Dynamics-rich Devices with the Dynamic Time Evolution Method,"One key assumption behind the compact modeling of semiconductor devices is the quasi-static approximations (QSA). However, more emerging devices or phenomena in classical devices show characteristics of rich dynamics for which a paradigm shift from QSA is required. This work reviews the representative dynamics-rich device behaviors, spanning a variety of devices from transistors to memories. For transistors, self-heating and aging are representative dynamics of short and long terms, respectively. Hysteresis due to the forward and backward physical process is also shown up in thin film transistors and negative capacitance MOSFETs. For non-volatile memories, an individual state variable is dynamically evolving with dependences on the voltage or current stimulus. Applications of the dynamic time evolution method (DTEM) to these dynamic scenarios are reviewed, for accurate and efficient circuit simulations.",Lining ZHANG,07 Modelling and Simulation,1,[Invited],"Lining Zhang, Peking University, China "
Surface Potential-based Compact Model for IGZO-DRAM Enables the TCAD-to-SPICE Framework for Reliabilityaware,10 March 2025 (Monday),11:50am,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-5,10:30am to 12:30pm,EDTM25-000465,Surface Potential-based Compact Model for IGZO-DRAM Enables the TCAD-to-SPICE Framework for Reliability-aware DTCO Flow,"With the Design-Technology Co-Optimization (DTCO) being increasingly significant in IGZO-DRAM, a surface potential-based compact model is highly required. For better understanding the disorder effects, an in-house TCAD tool is proposed to study sub-threshold properties. On this basis, a unified surface potential based compact is provided with underlying transport mechanisms for various structures. By addressing critical reliability issues, such as D2D and C2C variability, it enables the TCAD-to-SPICE framework for realizing a reliability-aware DTCO flow of IGZO-DRAM.","Wenfeng Jiang,Chen Gu,Yue Zhao,Di Geng,Guanhua Yang,Lingfei Wang,Xufan Li,Ling Li",07 Modelling and Simulation,1,[Invited],"Ling Li, Institute of Microelectronics, CAS, China, China "
TCAD and mixed-mode simulation supporting the development of contact-controlled thin-film transistors and,10 March 2025 (Monday),12:10pm,morning," Charles K Kao Auditorium, 1/F, 8W & 10W",M-7-1-6,10:30am to 12:30pm,EDTM25-000130,TCAD and mixed-mode simulation supporting the development of contact-controlled thin-film transistors and circuits,"This paper presents recent advances in contact-controlled transistors supported by numerical simulation using Silvaco Atlas. In such devices, the source injection area, rather than the channel, governs drain current magnitude. Their correct design and application relies on deep understanding of internal operation; therefore technology computer-aided design (TCAD) is a useful optimization tool for established source-gated transistors (SGT) and emerging multimodal transistors (MMT) alike. In the absence of compact models, mixed-mode circuit simulations provide a valuable route toward application design.","Eva Bestelink,Radu Sporea",07 Modelling and Simulation,1,[Invited],"Radu Sporea, University of Surrey, UK "
A Hybrid Design Method of Lamb Wave Mode Filter Based on Machine Learning and COM Model,10 March 2025 (Monday),10:30am,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-1,10:30am to 12:30pm,EDTM25-000607,A Hybrid Design Method of Lamb Wave Mode Filter Based on Machine Learning and COM Model,"This paper reports a acoustic filter design process using a hybrid approach based on machine learning and COM model. Machine learning is deployed to accurately predict the filter structure that meets performance requirements, while the COM model is used to greatly simplify the process of simulating impedance characteristics. The model is validated by a specific Lamb Wave Resonator (LWR) and a filter for the N1 frequency band, demonstrating great potential for fast filter design for 5G/6G applications.","Lihang Liao,Chen Ma,Zhiyu Wang,Xiangyu Zou,Zhiyuan Wang,Xi He,Feixuan Huang,Qinghua Ren,Fengyuan Yang,Yiming Ma,Jianlin Chen,Nan Wang","10 Sensor, MEMS, Bio-Electronics",1,[Invited],"Wang Nan, Shanghai University, China "
ScAlN-based Bulk Acoustic Wave Technology for 5G Filtering Applications,10 March 2025 (Monday),10:50am,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-2,10:30am to 12:30pm,EDTM25-000382,ScAlN-based Bulk Acoustic Wave Technology for 5G Filtering Applications,"This paper briefly introduces the research efforts of leveraging the superior piezoelectric properties of Sc doped AlN (ScAlN) thin films to address the current challenges of bulk acoustic wave (BAW) technology for 5G filtering applications. The film bulk acoustic resonators (FBAR) based on Sc0.3Al0.7N films can boost the bandwidth of the filters, scaling up the frequency up to mmWave range, and even enable the frequency reconfigurability of the FBAR resonators and filters.","Chen Liu,Xinghua Wang,You Qian,Ying Zhang,Minghua Li,Peng Liu,Huamao Lin,Qingxin Zhang,Yao Zhu","10 Sensor, MEMS, Bio-Electronics",1,[Invited],"Liu Chen, Institute of Microelectronics, A*STAR, Singapore "
High-Frequency and Wideband RF Filters for 6G and Wi-Fi 7,10 March 2025 (Monday),11:10am,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-3,10:30am to 12:30pm,EDTM25-000205,High-Frequency and Wideband RF Filters for 6G and Wi-Fi 7,"This paper presents a brief review of our recent progress on high-frequency and wideband chip-level radio frequency (RF) filters, including Lamb-wave acoustic resonator performance advancements and new acoustic mode innovations. By focusing on three fundamental metrics of acoustic resonators, namely operating frequency (f ), electromechanical coupling coefficient (k2) and quality factor (Q), this paper describes our efforts in acoustic mode innovation, device structure optimization and fabrication process improvement for higher frequency and better performance. These breakthroughs open new paths to enable high-frequency Lamb-wave and SAW resonators with high k2 for 6G (cmWave and mmWave) and Wi-Fi 7/8 wireless communications.","Chengjie Zuo,Zhongbin Dai","10 Sensor, MEMS, Bio-Electronics",1,[Invited],"Chengjie Zuo, USTC University, China "
Twisted-placed Multilayer Stack for Inherent Suppression of Transverse modes of Layered SAW Devices,10 March 2025 (Monday),11:30am,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-4,10:30am to 12:30pm,EDTM25-000457,Twisted-placed Multilayer Stack for Inherent Suppression of Transverse modes of Layered SAW Devices,"This study explores a novel twisted-placed multilayer structure with inherent spurious transverse suppression for shear-horizontal surface acoustic wave (SH-SAW) devices. By adjusting the twisted angle of 45° between lithium tantalate (LT) and Si (100) substrate, the slowness curve of material stack was twisted vertically to enhance spectrum purity while inherently suppressing transverse modes. The fabricated resonators based on the twisted-placed multilayer demonstrated a significant reduction in transverse modes compared to traditional stacks, ensuring a cleaner spectrum without compromising performance. This method presents a promising advancement in RF filter technology for next-generation communications.","Boyuan Xiao,Sulei Fu,Peisen Liu,Xinchen Zhou,Qiufeng Xu,Jiajun Gao,Shuai Zhang,Rui Wang,Cheng Song,Fei Zeng,Weibiao Wang,Feng Pan","10 Sensor, MEMS, Bio-Electronics",0,,"Boyuan Xiao, Sulei Fu, Peisen Liu, Xinchen Zhou, Qiufeng Xu, Jiajun Gao, Shuai Zhang, Rui Wang, Cheng Song, Fei Zeng, Weibiao Wang, Feng Pan, Tsinghua University, China "
Towards Spectrum Spurious-free and Wideband SAW Devices Based on LN/AT-Quartz Layered Structure,10 March 2025 (Monday),11:45am,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-5,10:30am to 12:30pm,EDTM25-000396,Towards Spectrum Spurious-free and Wideband SAW Devices Based on LN/AT-Quartz Layered Structure,"This work reports on a novel lithium niobate thin-film on AT-Quartz layered structure with inherent spurious suppression for shear-horizontal surface acoustic wave (SH-SAW) wideband devices. The dispersion curves are twisted vertically by incorporating AT-Quartz substrate with strong concave shear horizontal slowness. We compared the proposed LN/AT-Quartz platform with typical LN/SiO2/SiC structure through device measurements. One port spurious-free LN/AT-Quartz resonators without transverse and high-order modes are experimentally confirmed, while maintaining a high coupling factor and admittance ratio.","Peisen Liu,Sulei Fu,Boyuan Xiao,Xinchen Zhou,Qiufeng Xu,Jiajun Gao,Shuai Zhang,Rui Wang,Cheng Song,Fei Zeng,Weibiao Wang,Feng Pan","10 Sensor, MEMS, Bio-Electronics",0,,"Peisen Liu, Sulei Fu, Boyuan Xiao, Xinchen Zhou, Qiufeng Xu, Jiajun Gao, Shuai Zhang, Rui Wang, Cheng Song, Fei Zeng, Weibiao Wang, Feng Pan, Tsinghua University, China "
Capacitive Length-extension Mode Resonators with Stress-induced Gap-closing Electrodes for Motional,10 March 2025 (Monday),12:00pm,morning," INNO2 Multifunction Hall 2&3, 2/F, 17W",M-10-1-6,10:30am to 12:30pm,EDTM25-000189,Capacitive Length-extension Mode Resonators with Stress-induced Gap-closing Electrodes for Motional Resistance Reduction,"This work presents a capacitive length-extension mode resonator featuring novel gap-closing electrodes, which  apply nonuniform stress to the structure of the movable electrodes to reduce the capacitive transduction gaps to sub-micrometer-level values after the device is released. This approach overcomes the limitations of deep etching. Sub-100  nm capacitive transduction gaps are obtained, and the equivalent impedance of the resonator is significantly  reduced. ","Hao Yu,Yechen Miao,Fang Wang,Ke Sun,Yi Sun,Tiger H Tao,Heng Yang","10 Sensor, MEMS, Bio-Electronics",0,,"Hao Yu, Yechen Miao, Fang Wang, Ke Sun,Yi Sun, Tiger H Tao, Heng Yang, Shanghai Institute of Microsystem and Information Technology, CAS, China "
