,index,transaction,title,abstract,authors,track,invited
13,13,EDTM25-000024,Erbium-doped Aluminium Oxide based Distributed Feedback Waveguide Laser in Thin Film Lithium Niobate Platform,"As the realization of a series of high-performance lithium niobate (LN) photonic integrated devices, LN has become one of the most promising platforms for photonic integrated circuits. While the highly compatible LN based on chip light sources are still lacking. It is an urgent need to develop C-band light source on LN chips. We theoretically studied an erbium-doped Al2O3 waveguide laser based on distributed feedback (DFB) cavity in the thin film lithium niobate (TFLN) platform. By utilizing chalcogenide glass (CHG) as the cladding material in a sandwich structure, a high confinement factor (52.5%) and laser power is attained. The Laser is pumped at 1480 nm and exhibit fundamental TE mode at 1533 nm, with lasers yield efficiencies up to 27.1% and lasering threshold as low as 4.4 mW in a 10-mm-long DFB cavity.","Zhekang Zhang,Ruqi Wang,Renfei kuang,Xifa Liang,Shijie Liang,Qingming Chen","05 Photonics, Imaging and Display",0
14,14,EDTM25-000026,Comparison of border trap density in MIFM capacitors with different interlayers using the C-ln(f) method,"The border trap density is compared in Metal/Interlayer/Ferroelectric/Metal (MIFM) capacitors with different interlayers by measuring Capacitance vs. logarithm of frequency, i.e. the C-ln(f) method. The C-ln(f) method is verified and modified based on the simulation results of the distributed bulk-oxide trap model. The MIFM capacitors were fabricated with different interlayers (HfO2 or ZrO2) between the HZO and top TiN electrode. It is found that the devices with HfO2 or ZrO2 interlayer have lower border trap density after wake-up cycling, demonstrating the potential for reliability improvement.","Min Liao,Hao Xu,Xiaoyu Ke,Yuanyuan Zhao,Jun Shuai Chai,Xiaoqing Sun,Jinjuan Xiang,Xiaolei Wang,Wenwu Wang","02 Process, Tools, Yield, and Manufacturing",0
15,15,EDTM25-000028,Boosting Mobility of Oxide TFTs via PVD and ALD Hybrid Process,"The physical vapor deposited (PVD) oxide semiconductor TFTs often suffer from the trade-off between positive threshold voltage (Vth) and high mobility. In this work, the hybrid active layer of sputtered InZnO (IZO) and atomic layer deposited (ALD) InGaO (IGO) is investigated. After ALD residuals are thermally removed, a high-mobility quantum well can be formed at the well-defined PVD-IZO/ALD-IGO heterojunction. Compared to the PVD-IZO TFT, the PVD-ALD one shows considerably elevated mobility, and maintains low off-current and positive Vth.","Yuhang Zhang,Xiao Li,Shengjie Yang,Huan Yang,Tengyan Huang,Xinwei Wang,Lei Lu,Shengdong Zhang",03 Advanced Semiconductor (Logic) Devices,0
16,16,EDTM25-000030,High-Performance Flexible Graphene Field-Effect Transistors and Multistage Inverter Chains for Signal Amplification,"Graphene is a promising material in the realm of flexible electronics, offering exceptional properties for advanced device fabrication. In this study, we present an optimized fabrication process for flexible graphene field-effect transistors (GFETs), achieving an intrinsic voltage gain of 6 dB. Furthermore, we demonstrate the development of multistage graphene inverter chains, successfully realizing a three-stage graphene inverter cascade on a flexible substrate, integrating six flexible GFETs with a total gain of 15.6 dB. The potential of these graphene-based inverter chains for signal amplification is illustrated through the successful amplification of heart rate signals, showcasing their application in flexible bioelectronics.","Zhongyang Ren,Pei Peng,Jiaojiao Tian,Chenghao Xia,Muchan Li,Liming Ren,Liu Fei,Yunyi Fu",11 Flexible and Wearable Electronics,0
17,17,EDTM25-000032,Oxide-based Optical Synapses with Low Consumption for In-Sensor Reservoir Computing,"In this work, we propose a two-terminal ITO/NiO/HfO2/Pd optical synapse that has tunable temporal dynamics under light stimuli. The optical synapse exhibits light intensity and frequency-dependent nonlinear synaptic short-term plasticity (STP) at a low read voltage of 0.05 V, indicating the potential for achieving in-sensor reservoir computing (RC) with reduced power consumption. The RC system, utilizing our optical synapses, can operate at an ultra-low energy consumption level of 15 fJ while achieving a remarkably high recognition accuracy of 95.95 %.","Jingyi Zhou,Biyi Jiang,Huansong Tang,Zhen Wang",03 Advanced Semiconductor (Logic) Devices,0
18,18,EDTM25-000040,A SAW Pressure Sensor based on AlN thin film with a Novel Differential Structure: Balancing Sensitivity Enhancement and Temperature Decoupling,"Two SAW devices were integrated on a pressure-sensitive diaphragm based on an AlN film substrate. The placement of the devices was carefully designed according to the frequency variation behavior of the SAW devices and the strain distribution across the diaphragm, forming an effective differential structure. Experimental results demonstrated the beneficial effects of this design: the pressure sensitivity increased from 2.2267 ppm/kPa to 24.8767 ppm/kPa, while the temperature sensitivity decreased from 21.2572 ppm/°C to 3.8763 ppm/°C.","Aobei Chen,Dapeng Li,Ge Gao,Chun Hu,Dezhi Zheng","10 Sensor, MEMS, Bio-Electronics",0
19,19,EDTM25-000041,A BSIM Compact Model of Two-Dimensional Semiconductor Field Effect Transistors,"In this work, a compact model for two-dimensional semiconductor field effect transistors (2DFETs), based on the 
BSIM-CMG framework, is developed. We start with modeling the channel free charge density near the source side and the drain side, and achieve an explicit drain to source current expression. We incorporate this core model for 2DFETs with the sub models, including mobility degradation, velocity saturation, subthreshold swing degradation, short channel effect and self-heating in BSIM-CMG. This model is validated against measurements from state-of-the-art MoS2-based FETs.","Jen-Hao Chen,Ahtisham Pampori,Chien-Ting Tung,Sayeef Salahuddin,Chenming Hu",07 Modelling and Simulation,0
20,20,EDTM25-000043,Improved Ohmic Contact Resistance and DC Performance of InAlN/GaN HEMTs with Si-incorporated Contact Scheme,"In this work, we propose a Si-incorporated ohmic contact scheme. An ultra-low contact resistance of <0.1 Ω·mm is demonstrated, representing an 82.7% reduction compared to the conventional scheme. This excellent ohmic contact significantly enhances the DC performance of InAlN/GaN HEMTs. Specifically, the maximum drain current (IDS,max) increases by over 30%, and the on-resistance (RON) decreases by over 20%. These results present a promising approach to promote GaN HEMTs in high-power and high-frequency switching applications.","Yang Jiang,Fangzhou Du,Xinyi Tang,Ziyang Wang,Kangyao Wen,Zhongrui Wang,Qing Wang,Hongyu Yu",06 Wide-Bandgap Power and RF Devices,0
21,21,EDTM25-000044,BSIM-NN: A Machine Learning Compact Model for Fast IC Simulation,"We present BSIM-NN, a comprehensive neural network (NN)-based compact model of FET IV and CV characteristics, including geometry and temperature dependence, self-heating (SH), non-quasi-static (NQS) effect, variability, parasitic capacitances, and noises. The model uses NNs to replace the analytical equations of the industry-standard BSIM-CMG FinFET/GAA model with proven accuracy. We demonstrate the model’s accuracy in DC, AC, transient, RF, and noise simulations and speedup of digital and analog IC simulations.","Chien-Ting Tung,Sayeef Salahuddin,Chenming Hu",07 Modelling and Simulation,1
22,22,EDTM25-000045,975V/4.3mΩ·cm2 Enhancement-mode (001) β-Ga2O3 Vertical Multi-fin Power Transistors,"This work reports a high-performance enhancement-mode β-Ga2O3 multi-fin field-effect transistor (FinFET). Utilizing a non-metal mask etching and self-aligned process based on photoresist planarization. The β-Ga2O3 FinFET exhibited a maximum output current density of 361.5 A/cm², a peak transconductance of 127 S/cm2, a specific on-resistance of 4.3 mΩ·cm², a breakdown voltage of 975 V, and a power figure of merit (PFOM) of 0.22 GW/cm2. These results demonstrate the feasibility of β-Ga2O3 power transistors for large-area applications.","Gaofu Guo,Xiaodong Zhang,Chunhong Zeng,Tiwei Chen,Zhili Zou,Zheyuan Hu,Zhucheng Li,Dengrui Zhao,Yuhua Sun,Xianqi Dai,Baoshun Zhang",06 Wide-Bandgap Power and RF Devices,0
23,23,EDTM25-000047,An Atomic Layer Etching Technique for MOCVD in-situ SiNx,"This work systematically established the atomic layer etching (ALE) technique for MOCVD in-situ SiNx. Achieving ultra-low etching damage, with ~110% and ~220% improvement in surface morphology (RMS roughness) compared to as-grown and continuous etching wafers. Ultra-high etching precision with etching per cycle (EPC) of 1.13 nm/cycle was obtained. The mechanism of ALE was validated. This technique optimized the patterning of in-situ SiNx passivation/dielectric on GaN, laying the foundation for realizing high-performance Si-based GaN HEMTs.","Fangzhou Du,Yang Jiang,Ziyang Wang,Xinyi Tang,Qing Wang,Hongyu Yu",06 Wide-Bandgap Power and RF Devices,0
24,24,EDTM25-000048,Reliability-Aware Device and Programming Scheme Optimization for PBS/NBS-Immune IGZO-based 2T0C DRAM,"This work develops a reliability-aware device and programming scheme optimization methodology for IGZO-based 2T0C DRAM cells. The read and write transistors were fabricated by adopting different compositions and layer thicknesses of IGZO channel. Meanwhile, the reliability degradation map in the full {VGS,str, VDS,str} space showed that the degradation of PBS can be mitigated by applying a VDS,str, from which a PBS-mitigated programming scheme was developed. Finally, the PBS/NBS immunity of 2T0C DRAM cells were demonstrated.","Zhidong Tang,Yanbo Su,Jianshi Tang,Yijia Fan,Yiwei Du,Mingcheng Shi,Yibei Zhang,Dong Wu,Bin Gao,He Qian,Huaqiang Wu",08 Reliability and testing,0
25,25,EDTM25-000049,A 2T2R TCAM Based on RRAM and Accurate Compact Model for A Kilobit Word Length,"Ternary content-addressable memory (TCAM) enables massively parallel search operations but faces challenges in achieving high storage density and area efficiency. This paper proposes a 2-transistor 2-resistor (2T2R) TCAM array architecture using RRAM cells. It can maintain sensing margins for word lengths exceeding 2048 bits with RRAM devices. To validate the concept, Ta/ZnO/TaOx/Pt RRAM devices are experimentally characterized and a compact model is optimized to fit the measured I-V data with 99.32 % accuracy. Circuit simulations are also conducted to verify its functions.","Wang Zhen,Li Pengtao,Wang Zijian,Xuemeng Fan,Xing Shengpeng,Zhang Yishu",04 Memory Technologies,0
26,26,EDTM25-000052,Prediction of single particle output response in the CTFET inverter based on deep learning algorithm,"A deep learning algorithm network model is established to predict the single-particle output response curve of complementary tunnel field-effect transistor (CTFET) inverters. The prediction results show that when the time is less than 10-12s, the relative error rate of the predicted value is less than 1%. In comparison experiments with four other traditional machine learning methods (decision tree, K-nearest neighbor algorithm, ridge regression, linear regression), the deep learning algorithm shows the smallest average error percentage.","Chen Chong,Hongxia Liu,Zexi Wang",07 Modelling and Simulation,0
27,27,EDTM25-000053,Structure design and characteristics of 3T sense-switch pFlash for computing-in-memory,"In this paper, we propose a novel structure for a 3T sense-switch pFlash (SSpF) that is specially designed for computing-in-memory. By leveraging the effect of programming pulse width modulation, the 3T-SSpF can be adjusted to more than a hundred conductance states. Furthermore, the conductance level and conductance variation of a 256k 3T-SSpF array are evaluated, and a typical neural network is implemented and applied to the MNIST and CIFAR-10 datasets. The network shows reasonable performance, with a loss of accuracy less than 1%; this approach will therefore enable the realization of more accurate NVM-based neural networks for edge inference.","Wei Zhao,Jinghe Wei,Guozhu Liu,Yidan Wei,Yingqiang Wei,Zhiyuan Sui,Meijie Liu,Qi Xi,Xinhe Wang,Zongguang Yu,Juyan Xu",04 Memory Technologies,0
28,28,EDTM25-000054,High-performance Cu2O/Ga2O3 Heterojunction Diodes for Power Electronics,"In this work, high-performance Cu2O/Ga2O3 heterojunction diodes (HJDs) are demonstrated via the construction of a double-layer of Cu2O with graded hole concentrations. Taking advantages of the single-layer HJDs featuring p+ Cu2O layer and p- Cu2O layer, respectively, the double-layer HJD achieves a high breakdown voltage of 2430 V, further yielding a power figure-of-merit of 0.91 GW/cm2. This offers a promising pathway for advancing the application of Ga2O3-based HJDs in future power electronics.","Xiaohui Wang,Mujun Li,Minghao He,Chun-Zhang Chen,Haozhe Yu,Long Chen,Qing Wang,Hongyu Yu",06 Wide-Bandgap Power and RF Devices,0
29,29,EDTM25-000055,Comprehensive Analysis of Oxidant Effects during ALD Process of Hf0.5Zr0.5O2 Ferroelectric Thin Films,"To guide the process optimization of HfO2-based ferroelectric (FE) devices, the effects of oxidants (O3/H2O) during atomic layer deposition (ALD) process of Hf0.5Zr0.5O2 films are systematically investigated. The results indicate that using the stronger oxidant (O3) leads to higher remanent polarization (Pr) but poorer endurance, with significant leakage deterioration after wakeup and a pronounced imprint effect during cycling. In contrast, the weaker oxidant (H2O) results in lower Pr but improves polarization switching speed. The influence of oxidants on pre-existing defects and interfacial reactions may be potential key factors. Our findings provide valuable insights for process optimization tailored to specific application requirements.","Xiaopeng Li,Yilin Hou,Xiaoyu Dou,Yaoyu He,Yuwei Qu,Pengpeng Sang,Xuepeng Zhan,Xiaolei Wang,Jixuan Wu,Jiezhi Chen",04 Memory Technologies,0
30,30,EDTM25-000056,Interface Engineering on Inorganic–Organic Hybrid Phototransistors for High-responsive Near-infrared Sensing,"Flexible and high-responsive phototransistors are highly demanded for wearable near-infrared (NIR) image sensors. Hybrid phototransistors utilizing the photogating effect, featuring separate sensing and transport layers, show considerable potential. However, optimizing the photogating effect remains a significant challenge. Here, we proposed a facile interface reduction processing to oxide semiconductors, enabling high-performance In2O3/Y6 heterojunction phototransistors with enhanced photo-gating effect for NIR sensing.","Bowen Zhu,Dingwei Li",11 Flexible and Wearable Electronics,0
31,31,EDTM25-000057,The Comprehensive Study of Difference between Cryogenic Planar MOSFET and FinFET Variation and Band Tail States Assessment,"In this work, we compare the variation between planar MOSFETs and FinFET and extract band tail states using a physical model for comparison. The results clearly show that the threshold voltage (Vth) and subthreshold swing (SS) variations of both planar MOSFETs and FinFET increase as temperature decreases and as device size shrinks. However, a comparison of device variability reveals that FinFET exhibits greater variability in both Vth and SS at cryogenic temperature. Furthermore, the extracted band tail states parameters indicate that FinFET exhibits more band tail states, this may be the reason for the larger variation. Our comparison demonstrates that FinFET experience higher variability than planar MOSFETs. This suggests that designing devices for advanced process nodes at cryogenic temperature demands greater attention to device variations to prevent device failure.","Chenyang Zhang,Yewei Zhang,Yongkang Xue,Shuying Wang,Sheng Yang,Pengpeng Ren,Zhigang Ji,Ru Huang",08 Reliability and testing,0
32,32,EDTM25-000058,quantum sensing nonlinearity in magnetic response,"Nonlinearity in electric response serves as the foundation of nonlinear optics, leading to the development of a vast and diverse field of research. We utilize the nitrogen-vacancy (NV) center in diamond as a probe to investigate its counterpart, the nonlinear response in magnetic response.",Sen Yang,"10 Sensor, MEMS, Bio-Electronics",1
33,33,EDTM25-000059,Contact Engineering of 1L-WSe2 p-FETs: Straightforward WOx Doping and Thickness Dependence,"This study presents a straightforward WOₓ doping strategy for the contact region of 1L-WSe₂ FETs, utilizing e-beam evaporated WO₃ bulk. We investigate the dopant thickness dependence, revealing that at an optimal thickness of 20 nm, the maximum on current Ion, max increases by ~100 times, while maintaining an on-off ratio exceeding seven orders. This strategy paves the way for developing Ohmic contacts in 1L-WSe₂ FETs.","Wenyu Wang,Yanda Zhu,Ziyi Wang,Yun Li,Jason Hwang,Xi Lin,Jiaqi Su,Jing-Kai Huang,Sean Li",01 Materials,0
34,34,EDTM25-000060,Monolithic 3D Integration of 2D Devices,"Monolithic three-dimensional (3D) integration of 2D materials represents a transformative advancement in semiconductor technology, enabling higher device density and multifunctionality. In this work, we demonstrate large-scale, wafer-level 3D integration of MoS₂ and WSe₂ field-effect transistors (FETs) across multiple tiers. This includes a 2-tier integration of MoS₂ FETs with over 10,000 devices per tier and a 3-tier architecture combining n-type MoS₂ and p-type WSe₂ FETs, supporting logic, memory, and sensing functions within a single chip. Scaled to channel lengths as short as 45 nm, the integration process remains BEOL-compatible. Additionally, we present a complementary metal-oxide-semiconductor (CMOS) logic platform using 3D monolithic integration of WSe₂ n-FETs and p-FETs, demonstrating high-performance CMOS gates with inter-tier via connections under 1 µm. We further explore heterogeneous integration by stacking graphene-based chemisensors with MoS₂ memtransistors in a two-tier architecture, achieving 62,500 I/O per mm² and low-latency near-sensor computing. These advancements pave the way for highly dense, multifunctional, low-power 3D integrated circuits based on 2D materials.",Saptarshi Das,03 Advanced Semiconductor (Logic) Devices,1
35,35,EDTM25-000061,Broadband Vis-NIR Neuromorphic Photodetector Based on PdSe2/Bi2O2Se Heterotransistor for Motion Detection,"Herein, we present a high-performance, broad-spectrum neuromorphic phototransistor utilizing PdSe2/Bi2O2Se van der Waals (vdWs) heterostructures, which extends the spectral sensing range from 300 nm to 1550 nm, achieving an exceptional photoresponsivity on the order of 10^5 A/W. Remarkably, the PdSe2/Bi2O2Se phototransistor exhibits multifunctional capabilities, enabling tunable memory window from 10 ms to 10^4 ms through gate voltage tuning. We successfully demonstrate its application in recognizing and classifying multi-target motion speeds ranging from 10 km/h to 200 km/h. These findings offer a promising pathway for the advancement of high-performance neuromorphic photodetectors aimed at tracking motion objectives.","Yu Zhu,Xinrui Guo,Shuo Liu,Junling Liu,Ru Huang,Ming He","10 Sensor, MEMS, Bio-Electronics",0
36,36,EDTM25-000062,Study of Threshold Voltage Degradation Mechanism of Ferroelectric Field-Effect Transistors (FeFETs) with TiN/SiO2/Hf0.5Zr0.5O2/SiOx/Si (MIFIS) Gate Stacks,"In this work, we investigate the degradation of the threshold voltage after the erase operation in HfO2-based silicon channel ferroelectric field-effect transistors (HfO2 Si-FeFETs) with TiN/SiO2/Hf0.5Zr0.5O2/SiOx/Si (MIFIS) gate structure. We find that after the erase operation, the increased hole density trapped at the SiOx/Hf0.5Zr0.5O2 interface and decreased ferroelectric polarization, are key factors leading to the degradation of the threshold voltage after the erase operation (Vth_ERS) for the FeFETs with MIFIS structure. In addition, the low capacitance value of the top SiO2 interlayer further exacerbates the impact of increased hole density on the Vth_ERS.","Zeqi Chen,Tao Hu,Xinpei Jia,Runhao Han,Jia Yang,Yajing Ding,Xiaoqing Sun,Junshuai Chai,Hao Xu,Xiaolei Wang,Wenwu Wang,Tianchun Ye","02 Process, Tools, Yield, and Manufacturing",0
37,37,EDTM25-000063,Modeling of the Switching Characteristics of Ag/HfO₂-based Volatile Memristors,"The Ag/HfO₂-based volatile memristor shows great potential for use in low-power logic transistors and neuromorphic computing. In this paper, we present a compact current-voltage (I-V) model for Ag/HfO₂-based threshold switching memristors, based on the formation and rupture of conductive filaments. From this model, we derive analytical expressions for the threshold voltage (V_th) and hold voltage (V_h) that describe the switching characteristics for the first time. The calculated results align closely with experimental data. Finally, we systematically analyze the influence of various process parameters on V_th and V_h","Qin Xie,Yikang Huo,Chunsheng Jiang",07 Modelling and Simulation,0
38,38,EDTM25-000064,A Submersible Soft Robot with Ultrasonic Echolocation Capabilities,"Underwater soft robots are being developed to address the limitations of traditional underwater robots, such as heavy weight, susceptibility to rust, and lack of flexibility. They can replace humans in tasks like underwater search and rescue, exploration and salvage, and pipeline inspection and maintenance. Recognizing the importance of echolocation, this paper proposes a submersible soft robot with flexible ultrasonic array for bathymetric measurement, underwater topography imaging, and underwater defect detection, offering a new solution for profound exploration under harsh conditions.","Guozhen Shen,Zhongming Chen,Qilin Hua,Jiaqiang Xu",11 Flexible and Wearable Electronics,0
